data_iniSE,casos,umidmed,tempmed
2014-04-13,6,75.3134162857143,28.0086518571429
2014-04-20,2,74.3018714285714,27.7877554285714
2014-04-27,5,70.30866,27.046494
2014-05-04,12,76.9319485714286,26.7176815714286
2014-05-11,3,78.4481545714286,25.9624047142857
2014-05-18,2,84.0132035714286,26.0557375714286
2014-05-25,8,80.2876,25.8684434285714
2014-06-01,2,72.3139408571429,26.0112322857143
2014-06-08,1,79.6478168571429,25.5535158571429
2014-06-15,3,74.6244541428571,25.7862208571429
2014-06-22,2,78.9965137142857,24.943471
2014-06-29,3,75.049912,25.5109394285714
2014-07-06,1,74.3413008571429,25.1735311428571
2014-07-13,2,76.4193705714286,25.0206434285714
2014-07-20,1,80.5350398571429,24.8604005714286
2014-07-27,1,81.7593068571429,24.4660305714286
2014-08-03,0,74.6704214285714,24.6732082857143
2014-08-10,1,75.0494694285714,24.2917158571429
2014-08-17,0,71.0514885714286,25.0556547142857
2014-08-24,2,76.918636,24.469326
2014-08-31,2,77.3951625714286,25.0017281428571
2014-09-07,0,71.9711731428571,24.5566052857143
2014-09-14,0,74.4737155714286,24.665963
2014-09-21,0,76.1206908571429,24.7383804285714
2014-09-28,2,72.849678,25.1730325714286
2014-10-05,1,62.9758455714286,25.0014688571429
2014-10-12,1,70.2582762857143,25.7250577142857
2014-10-19,0,66.917542,26.0072167142857
2014-10-26,1,70.6002428571429,26.4357414285714
2014-11-02,1,71.81234,25.6270242857143
2014-11-09,2,74.1591611428571,26.5557315714286
2014-11-16,0,79.3890202857143,24.5727901428571
2014-11-23,1,72.6320757142857,26.1962078571429
2014-11-30,0,68.0468028571429,26.328485
2014-12-07,0,72.2887385714286,26.4583812857143
2014-12-14,0,80.45598,25.5228532857143
2014-12-21,1,73.1419928571429,26.4480128571429
2014-12-28,0,68.8264694285714,26.7587844285714
2015-01-04,2,72.2313378571429,26.3636178571429
2015-01-11,0,68.1014737142857,27.226207
2015-01-18,0,68.2512045714286,27.2193825714286
2015-01-25,0,68.5227112857143,27.4216672857143
2015-02-01,2,68.6162157142857,27.6203915714286
2015-02-08,0,69.4419758571429,27.5194694285714
2015-02-15,3,72.8478,27.0195354285714
2015-02-22,2,75.4448234285714,26.2898837142857
2015-03-01,3,70.5304935714286,27.2439815714286
2015-03-08,4,67.6866362857143,27.5774172857143
2015-03-15,2,66.2953457142857,27.8152767142857
2015-03-22,1,70.5506211428571,27.638903
2015-03-29,5,63.1960828571429,27.41754
2015-04-05,7,73.1428798571429,27.194317
2015-04-12,14,69.9063165714286,27.614179
2015-04-19,18,73.4424248571429,27.6243288571429
2015-04-26,17,80.2065948571429,25.5124037142857
2015-05-03,23,76.4100342857143,26.2576924285714
2015-05-10,10,79.0923028571429,25.8918162857143
2015-05-17,8,73.2592574285714,26.0750967142857
2015-05-24,10,73.1597571428571,26.1731411428571
2015-05-31,7,74.5224214285714,25.970449
2015-06-07,8,76.4171134285714,25.4421212857143
2015-06-14,6,72.1217928571429,25.5232268571429
2015-06-21,12,73.1614114285714,24.9407468571429
2015-06-28,1,73.7072654285714,24.9338085714286
2015-07-05,16,77.4641278571429,24.8107645714286
2015-07-12,19,72.121432,24.7833357142857
2015-07-19,28,71.5739971428571,24.268544
2015-07-26,13,68.8141851428571,24.8349655714286
2015-08-02,3,64.5852835714286,24.3042261428571
2015-08-09,11,66.7274482857143,24.2313731428571
